Time: 0
  anyinit_procdff_28693 = 1
  anyinit_procdff_28698 = 1
  anyinit_procdff_28703 = 1
  anyinit_procdff_28708 = 1
  anyinit_procdff_28713 = 0100000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_28718 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_28723 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_28728 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_28733 = 0
  anyinit_procdff_28738 = 0
  anyinit_procdff_28743 = 1
  anyinit_procdff_28748 = 1
  anyinit_procdff_28753 = 1
  anyinit_procdff_28758 = 1
  anyinit_procdff_28763 = 1
  anyinit_procdff_28768 = 1
  anyinit_procdff_28773 = 1
  anyinit_procdff_28778 = 1
  anyinit_procdff_28783 = 1
  anyinit_procdff_28788 = 1
  anyinit_procdff_28793 = 1
  anyinit_procdff_28798 = 1
  anyinit_procdff_28803 = 1
  anyinit_procdff_28808 = 0
  anyinit_procdff_28813 = 0
  anyinit_procdff_28818 = 0
  anyinit_procdff_28823 = 0
  anyinit_procdff_28828 = 1
  anyinit_procdff_28833 = 1
  anyinit_procdff_28838 = 0
  anyinit_procdff_28843 = 0
  anyinit_procdff_28848 = 1
  anyinit_procdff_28853 = 1
  anyinit_procdff_28858 = 1
  anyinit_procdff_28863 = 1
  anyinit_procdff_28868 = 0
  anyinit_procdff_28873 = 1
  anyinit_procdff_28878 = 1
  anyinit_procdff_28883 = 0
  anyinit_procdff_28888 = 1
  anyinit_procdff_28893 = 1
  anyinit_procdff_28898 = 1
  anyinit_procdff_28903 = 0
  anyinit_procdff_28908 = 1
  anyinit_procdff_28913 = 1
  anyinit_procdff_28918 = 1
  anyinit_procdff_28923 = 1
  anyinit_procdff_28928 = 1
  anyinit_procdff_28933 = 1
  anyinit_procdff_28938 = 0
  anyinit_procdff_28943 = 1
  anyinit_procdff_28948 = 1
  anyinit_procdff_28953 = 1
  anyinit_procdff_28958 = 1
  anyinit_procdff_28963 = 1
  anyinit_procdff_28968 = 1
  anyinit_procdff_28973 = 1
  anyinit_procdff_28978 = 0
  anyinit_procdff_28983 = 1
  anyinit_procdff_28988 = 1
  anyinit_procdff_28993 = 1
  anyinit_procdff_28998 = 0
  anyinit_procdff_29003 = 1
  anyinit_procdff_29008 = 1
  anyinit_procdff_29013 = 1
  anyinit_procdff_29018 = 1
  anyinit_procdff_29023 = 0
  anyinit_procdff_29028 = 1
  anyinit_procdff_29033 = 1
  anyinit_procdff_29038 = 0
  anyinit_procdff_29043 = 1
  anyinit_procdff_29048 = 1
  anyinit_procdff_29053 = 0000000000000000001000000000000000000000000000000000000000000000
  anyinit_procdff_29058 = 0000000000000000000000000000000000100000000000000000000000000000
  anyinit_procdff_29063 = 0000000100000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29068 = 0000000000000000000000000000000000000000000001000000000000000000
  anyinit_procdff_29073 = 0000000000000000000000000000000000000000010000000000000000000000
  anyinit_procdff_29078 = 0000000000000000000000000000000000000000000000000000000100000000
  anyinit_procdff_29083 = 0000000000000000000000000000000000000000001000000000000000000000
  anyinit_procdff_29088 = 0000000000000000000000000000000000000000000000000000000000000010
  anyinit_procdff_29093 = 0000000000000000000000000100000000000000000000000000000000000000
  anyinit_procdff_29098 = 0000000010000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29103 = 0000000000000000000000000000001000000000000000000000000000000000
  anyinit_procdff_29108 = 0000000000000000000000000000000000000000000000000000001000000000
  anyinit_procdff_29113 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29118 = 0000000000000000000000000000100000000000000000000000000000000000
  anyinit_procdff_29123 = 0000000000000000000000000100000000000000000000000000000000000000
  anyinit_procdff_29128 = 0000000000000000001000000000000000000000000000000000000000000000
  anyinit_procdff_29133 = 0000000000000000000000000000000000000000000100000000000000000000
  anyinit_procdff_29138 = 0000000000000000000000000000000000000000000000000000000001000000
  anyinit_procdff_29143 = 0000000000000000000000000000000000000000000000001000000000000000
  anyinit_procdff_29148 = 0000000000100000000000000000000000000000000000000000000000000000
  anyinit_procdff_29153 = 0000000000100000000000000000000000000000000000000000000000000000
  anyinit_procdff_29158 = 0000000000000000001000000000000000000000000000000000000000000000
  anyinit_procdff_29163 = 0000000000000000000000000000000000000000000000000000000000000001
  anyinit_procdff_29168 = 0000000000000000000000000000000000000000000000000000100000000000
  anyinit_procdff_29173 = 0000000000000000000000000000000000000000000001000000000000000000
  anyinit_procdff_29178 = 0000000000000000000000000000010000000000000000000000000000000000
  anyinit_procdff_29183 = 0000000000000000000000000000000000000000000000000000000000000100
  anyinit_procdff_29188 = 0000000000000000000000000000000000000000000000000000000000000001
  anyinit_procdff_29193 = 0000000000000000000000000000000000000000000000010000000000000000
  anyinit_procdff_29198 = 0000000000000000000000000000000000000000000001000000000000000000
  anyinit_procdff_29203 = 0000000000000000000000000000000000000000000000000000000000000001
  anyinit_procdff_29208 = 0000000000000000000000000000000000000000000000000000100000000000
  anyinit_procdff_29213 = 0000000000000000000000000000000000000010000000000000000000000000
  anyinit_procdff_29218 = 0000000000000000000000000000000000000000001000000000000000000000
  anyinit_procdff_29223 = 0000000000000000000000000000000000000010000000000000000000000000
  anyinit_procdff_29228 = 0000000000000000000000000000001000000000000000000000000000000000
  anyinit_procdff_29233 = 0000000000000000000000000000000000000000000000001000000000000000
  anyinit_procdff_29238 = 0000000000000000000100000000000000000000000000000000000000000000
  anyinit_procdff_29243 = 0000000000000000000000000000000000000000000100000000000000000000
  anyinit_procdff_29248 = 0000000000000000000000000000000000000000000000010000000000000000
  anyinit_procdff_29253 = 0000000000000000000000000000000000001000000000000000000000000000
  anyinit_procdff_29258 = 0000000000000000000000000000000000000001000000000000000000000000
  anyinit_procdff_29263 = 0000000000000000000000000000000000000000000000011000000000000000
  anyinit_procdff_29268 = 0000000000000000000000000000000000000000000000000000000000010000
  anyinit_procdff_29273 = 0000000000000100000000000000000000000000000000000000000000000000
  anyinit_procdff_29278 = 0000000000000000000000000000000000000000000000000010000000000000
  anyinit_procdff_29283 = 0000000000000000000000000000000000000000000000100000000000000000
  anyinit_procdff_29288 = 0000000000000000000000000000000000000000000000000000010000010000
  anyinit_procdff_29293 = 0000000000000000000000000000000000000000000000000000000000000001
  anyinit_procdff_29298 = 0000000000000000000000010000000000000000000000000000000000000000
  anyinit_procdff_29303 = 0000000000000000000010000000000000000000010000000000000000000000
  anyinit_procdff_29308 = 0000000000000000000000000000000000000000000000000000000000000010
  anyinit_procdff_29313 = 0000000000000000000000000000000000000000000000100000000000000000
  anyinit_procdff_29318 = 0000000000000000000000000000001000000000000000000000000000000000
  anyinit_procdff_29323 = 0000000000000000000100000000000000000000000000000000000000000000
  anyinit_procdff_29328 = 0000000010000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29333 = 0000000000000000000000000000000000000001000000000000000000000000
  anyinit_procdff_29338 = 0100000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29343 = 0000000000000000000000000000000000000000001000000000000000000000
  anyinit_procdff_29348 = 0000000000000001000000000000000000000000000000000000000000000000
  anyinit_procdff_29353 = 0000000000000000000000000000000000000000000000100000000000000000
  anyinit_procdff_29358 = 0000000000000000000000000000000000000010000000000000000000000000
  anyinit_procdff_29363 = 0000010000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29368 = 0000000001000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29373 = 1
  anyinit_procdff_29378 = 1
  anyinit_procdff_29383 = 1
  anyinit_procdff_29388 = 1
  anyinit_procdff_29393 = 1
  anyinit_procdff_29398 = 1
  anyinit_procdff_29403 = 1
  anyinit_procdff_29408 = 0
  anyinit_procdff_29413 = 0
  anyinit_procdff_29418 = 0
  anyinit_procdff_29423 = 1
  anyinit_procdff_29428 = 0
  anyinit_procdff_29433 = 0
  anyinit_procdff_29438 = 1
  anyinit_procdff_29443 = 1
  anyinit_procdff_29448 = 1
  anyinit_procdff_29453 = 0
  anyinit_procdff_29458 = 1
  anyinit_procdff_29463 = 0
  anyinit_procdff_29468 = 0
  anyinit_procdff_29473 = 1
  anyinit_procdff_29478 = 1
  anyinit_procdff_29483 = 0
  anyinit_procdff_29488 = 0
  anyinit_procdff_29493 = 1
  anyinit_procdff_29498 = 1
  anyinit_procdff_29503 = 1
  anyinit_procdff_29508 = 0
  anyinit_procdff_29513 = 1
  anyinit_procdff_29518 = 0
  anyinit_procdff_29523 = 1
  anyinit_procdff_29528 = 0
  anyinit_procdff_29533 = 1
  anyinit_procdff_29538 = 1
  anyinit_procdff_29543 = 1
  anyinit_procdff_29548 = 1
  anyinit_procdff_29553 = 0
  anyinit_procdff_29558 = 1
  anyinit_procdff_29563 = 1
  anyinit_procdff_29568 = 0
  anyinit_procdff_29573 = 1
  anyinit_procdff_29578 = 1
  anyinit_procdff_29583 = 0
  anyinit_procdff_29588 = 1
  anyinit_procdff_29593 = 0
  anyinit_procdff_29598 = 1
  anyinit_procdff_29603 = 1
  anyinit_procdff_29608 = 1
  anyinit_procdff_29613 = 1
  anyinit_procdff_29618 = 0
  anyinit_procdff_29623 = 0
  anyinit_procdff_29628 = 0
  anyinit_procdff_29633 = 0
  anyinit_procdff_29638 = 0
  anyinit_procdff_29643 = 0
  anyinit_procdff_29648 = 1
  anyinit_procdff_29653 = 0
  anyinit_procdff_29658 = 1
  anyinit_procdff_29663 = 1
  anyinit_procdff_29668 = 1
  anyinit_procdff_29673 = 1
  anyinit_procdff_29678 = 1
  anyinit_procdff_29683 = 1
  anyinit_procdff_29688 = 0
  anyinit_procdff_29693 = 0
  anyinit_procdff_29698 = 1
  anyinit_procdff_29703 = 0
  anyinit_procdff_29708 = 1
  anyinit_procdff_29713 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29718 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29723 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29728 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29733 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29738 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29743 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29748 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29753 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29758 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29763 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29768 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29773 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29778 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29783 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29788 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29793 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29798 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29803 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29808 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29813 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29818 = 0000000000000000000000000000000000000000000000000000100000000000
  anyinit_procdff_29823 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29828 = 0000000000000000000000000000000000000000000000000000000000000000
  anyinit_procdff_29833 = 0000000000000000000000000000000000000000000000000000000000000000
